企业名称,注册资本,风险信息,知识产权,对外投资,经营信息,舆情,企业评分
苏州金溢宝大数据科技有限公司,600,5,1.24,0,0,0,79.17
苏州巨帮投融信息科技有限公司,100,0,0,0,0,0,77.5
苏州跬步信息技术有限公司,500,3,0.02,0,0,1,78.33
苏州蓝云治霾科技有限公司,100,0,0,0,0,0,78.67
苏州朗动网络科技有限公司,264.3754,8,1.28,1,100,1,78.33
苏州凌智大数据信息服务有限公司,500,0,0,0,0,0,78.67
苏州绿网环保科技有限公司,500,1,0,0,0,0,78.33
苏州绿云信息科技有限公司,100,2,0.04,0,0,0,78.67
苏州迈科网络安全技术股份有限公司,3941.475,5,10.28,2,15,8,84.17
苏州喵呜信息技术有限公司,100,1,0,0,0,1,77.5
苏州品荟网络科技有限公司,100,0,0,0,0,0,77.5
苏州普德邦网络技术有限公司,200,6,0,0,0,0,80.83
苏州企翼数据科技有限公司,100,0,0,0,0,0,78.67
苏州启蓝环保科技有限公司,200,4,0.6,0,0,1,78.67
苏州萨特斯软件科技有限公司,100,0,0,0,0,0,78.67
苏州神农大健康管理有限公司,50,0,1.26,0,1,1,78.67
苏州世纪飞越网络信息有限公司,1176.48,0,0,0,0,1,82.5
苏州市好易停智能科技有限公司,301,0,0,0,0,0,76.67
苏州市环亚数据技术有限公司,2000,13,1.02,2,7,0,80.83
苏州市千尺浪信息技术服务有限公司,100,0,0,0,0,0,78.33
苏州市荣协资产管理有限公司,2000,3,0,0,0,0,78.67
苏州泰融金融信息服务有限公司,500,21,100.96,15,120,103,78.67
苏州天宫信息技术有限公司,326.9839,13,0.08,3,15,1,77.5
苏州天帷智能城市规划设计有限公司,500,1,0,0,0,0,78.33
苏州拓辉医疗科技有限公司,100,3,1.1,1,3,1,77.5
苏州万汇天融物联科技有限公司,500,0,0,1,0,0,78.33
苏州我的农场信息科技有限公司,2000,2,0.3,0,0,3,79.17
苏州新科兰德科技有限公司,3086.0534,14,4.28,5,100,5,81.67
苏州星熙数据科技有限公司,100,5,0.64,0,0,0,77.5
苏州学古堂文化咨询有限公司,100,0,0,0,0,1,77.5
苏州云博信息技术有限公司,5000,3,7.72,1,28,1,81.67
苏州云联智慧信息技术应用有限公司,500,7,0.6,0,3,1,79.17
苏州震坤科技有限公司,48750,2,0.3,0,0,1,82.5
苏州中志信息科技有限公司,520,0,0,0,0,1,78.33
苏州蛛网数据科技有限公司,1000,0,0,0,0,0,78.67
太仓腾键软件科技有限公司,19.5,7,0,0,0,0,78.33
太仓西都信息技术咨询服务有限公司,200,0,0,0,0,20,85
同程网络科技股份有限公司,20269.083,5,8.28,1,0,19,80
西交利物浦苏州城市与环境研究院有限公司,100,0,0,0,0,0,78.67
亚旭视讯科技（吴江）有限公司,7800,0,0,0,0,3,78.67
张家港莫特普数据科技有限公司,300,1,1.2,0,0,0,78.33
中科数据技术（苏州）有限公司,2000,2,2.56,0,18,1,79.17
中移（苏州）软件技术有限公司,60000,2,0.72,0,0,20,80.83
